student_id,gender,point_process,test_score,interest,attitude,result
1,Female,5,4,low,focus,Faile
2,Female,6,7,medium,lazy,Pass
3,Male,9,6,high,lazy,Pass
4,Female,6,5,high,lazy,Faile
5,Female,8,6,medium,lazy,Pass
6,Female,5,7,low,focus,Faile
7,Female,8,4,low,focus,Faile
8,Male,8,4,high,focus,Faile
9,Male,10,5,medium,lazy,Faile
10,Male,7,7,high,focus,Pass
11,Male,8,7,high,lazy,Pass
12,Male,6,8,low,focus,Pass
13,Male,6,5,low,lazy,Faile
14,Female,9,4,low,lazy,Faile
15,Male,8,4,low,lazy,Faile
16,Female,10,6,low,lazy,Pass
17,Male,10,4,low,lazy,Faile
18,Male,10,5,low,focus,Faile
19,Male,5,5,low,focus,Faile
20,Female,5,6,medium,lazy,Faile
21,Female,5,7,medium,lazy,Faile
22,Female,5,8,medium,focus,Faile
23,Female,5,5,medium,lazy,Faile
24,Male,6,4,medium,focus,Faile
25,Male,7,4,medium,lazy,Faile
26,Male,8,4,high,focus,Faile
27,Male,9,4,high,lazy,Faile
28,Male,8,4,high,focus,Faile
29,Male,7,4,high,focus,Faile
30,Male,6,4,high,lazy,Faile
31,Female,8,4,high,lazy,Faile
32,Female,6,4,low,lazy,Faile
33,Female,5,4,low,focus,Faile
34,Male,5,4,low,focus,Faile
35,Female,5,4,medium,focus,Faile
36,Male,5,8,medium,lazy,Faile
37,Female,5,5,medium,focus,Faile
38,Male,8,6,high,lazy,Pass
39,Female,9,5,high,focus,Faile
40,Male,9,5,high,lazy,Faile
41,Male,9,8,low,focus,Pass
42,Male,7,8,medium,focus,Pass
43,Male,10,8,high,lazy,Pass
44,Male,10,8,low,focus,Pass
45,Male,10,8,high,lazy,Pass
46,Male,10,8,medium,focus,Pass
47,Male,8,7,low,focus,Pass
48,Male,9,5,high,focus,Faile
49,Male,6,6,high,focus,Pass
50,Male,7,6,medium,focus,Pass
51,Male,7,5,low,focus,Faile
52,Female,7,4,high,focus,Faile
53,Female,8,5,low,focus,Faile
54,Female,5,6,medium,focus,Faile
55,Female,5,5,high,focus,Faile
56,Female,9,6,low,focus,Pass
57,Female,9,6,medium,lazy,Pass
58,Female,7,6,high,lazy,Pass
59,Female,7,6,low,lazy,Pass
60,Female,7,6,medium,focus,Pass
61,Female,7,6,low,focus,Pass
62,Female,7,6,medium,focus,Pass
63,Female,7,6,high,lazy,Pass
64,Male,6,6,high,focus,Pass
65,Female,6,6,high,lazy,Pass
66,Male,6,4,high,focus,Faile
67,Female,6,5,low,lazy,Faile
68,Male,6,8,low,focus,Pass
69,Female,6,7,low,lazy,Pass
70,Male,9,5,low,focus,Faile
71,Male,8,6,medium,lazy,Pass
72,Female,8,8,medium,lazy,Pass
73,Male,8,5,medium,focus,Faile
74,Female,8,6,low,lazy,Pass
75,Female,8,4,low,focus,Faile
76,Female,8,5,medium,lazy,Faile
77,Female,10,7,low,focus,Pass
78,Female,5,5,medium,lazy,Faile
79,Male,6,8,low,focus,Pass
80,Male,7,8,high,lazy,Pass
81,Male,5,8,low,focus,Faile
82,Male,7,8,medium,lazy,Pass
83,Female,8,8,high,focus,Pass
84,Male,6,8,low,lazy,Pass
85,Female,8,8,medium,focus,Pass
86,Male,9,8,high,lazy,Pass
87,Female,10,8,low,focus,Pass
88,Male,10,8,medium,lazy,Pass
89,Female,10,8,high,focus,Pass
90,Male,10,8,low,lazy,Pass
91,Female,10,8,medium,focus,Pass
92,Male,6,4,high,lazy,Faile
93,Female,6,5,low,focus,Faile
94,Male,6,9,medium,lazy,Pass
95,Male,6,4,high,focus,Faile
96,Male,6,7,low,lazy,Pass
97,Male,6,2,medium,focus,Faile
98,Male,7,5,high,lazy,Faile
99,Male,7,5,low,lazy,Faile
100,Male,9,7,medium,lazy,Pass
101,Male,10,5,high,lazy,Faile
102,Male,5,8,low,focus,Faile
103,Female,7,5,medium,lazy,Faile
104,Female,6,4,high,focus,Faile
105,Female,8,4,low,focus,Faile
106,Female,9,5,medium,focus,Faile
107,Female,5,6,high,focus,Faile
108,Female,6,4,low,focus,Faile
109,Female,8,5,medium,focus,Faile
110,Female,9,6,high,focus,Pass
111,Female,7,5,low,lazy,Faile
112,Female,8,6,low,lazy,Pass
113,Female,9,6,low,lazy,Pass
114,Female,6,4,low,lazy,Faile
115,Female,5,5,low,lazy,Faile
116,Female,9,5,low,focus,Faile
117,Female,9,8,medium,focus,Pass
118,Female,7,4,medium,focus,Faile
119,Male,6,5,medium,focus,Faile
120,Female,8,7,medium,focus,Pass
121,Male,6,7,high,lazy,Pass
122,Male,8,7,high,lazy,Pass
123,Female,10,7,high,focus,Pass
124,Male,10,7,high,focus,Pass
125,Female,10,7,high,focus,Pass
126,Male,10,7,high,focus,Pass
127,Female,10,7,low,lazy,Pass
128,Female,10,7,medium,focus,Pass
129,Female,10,7,high,lazy,Pass
130,Female,7,5,low,focus,Faile
131,Female,8,6,medium,lazy,Pass
132,Male,9,4,high,focus,Faile
133,Male,6,5,low,lazy,Faile
134,Female,8,5,medium,focus,Faile
135,Female,9,5,high,lazy,Faile
136,Male,6,6,low,focus,Pass
137,Female,7,8,medium,lazy,Pass
138,Male,5,7,high,focus,Faile
139,Female,5,5,low,lazy,Faile
140,Male,5,5,medium,lazy,Faile
141,Female,5,5,medium,lazy,Faile
142,Male,5,6,medium,lazy,Faile
143,Female,5,4,medium,focus,Faile
144,Male,5,5,medium,focus,Faile
145,Male,5,8,medium,focus,Faile
146,Male,7,7,low,lazy,Pass
147,Male,8,5,high,focus,Faile
148,Male,6,5,low,lazy,Faile
149,Male,5,6,medium,focus,Faile
150,Male,6,6,high,lazy,Pass
151,Male,7,4,low,lazy,Faile
152,Male,8,5,medium,lazy,Faile
153,Male,6,6,high,focus,Pass
154,Female,9,8,low,lazy,Pass
155,Female,9,8,high,focus,Pass
156,Female,9,8,low,lazy,Pass
157,Female,9,8,low,focus,Pass
158,Female,9,8,low,lazy,Pass
159,Female,6,4,low,focus,Faile
160,Female,7,5,low,lazy,Faile
161,Female,8,5,high,focus,Faile
162,Female,9,6,low,lazy,Pass
163,Female,6,7,medium,focus,Pass
164,Male,7,8,high,lazy,Pass
165,Male,8,5,low,focus,Faile
166,Male,7,4,medium,lazy,Faile
167,Male,8,5,high,lazy,Faile
168,Male,6,5,low,lazy,Faile
169,Male,5,4,medium,focus,Faile
170,Male,5,5,high,lazy,Faile
171,Male,5,4,low,focus,Faile
172,Male,6,6,medium,lazy,Pass
173,Male,9,4,high,focus,Faile
174,Male,7,8,low,lazy,Pass
175,Female,10,4,medium,focus,Faile
176,Male,7,5,high,lazy,Faile
177,Female,8,6,low,focus,Pass
178,Male,9,4,low,lazy,Faile
179,Female,6,5,medium,focus,Faile
180,Male,7,6,high,lazy,Pass
181,Female,8,5,low,focus,Faile
182,Male,5,8,medium,lazy,Faile
183,Male,6,4,medium,focus,Faile
184,Female,7,8,medium,lazy,Pass
185,Male,8,8,medium,focus,Pass
186,Female,6,8,high,lazy,Pass
187,Male,9,8,high,focus,Pass
188,Male,7,8,high,lazy,Pass
189,Male,6,8,high,focus,Pass
190,Male,8,8,high,lazy,Pass
191,Male,6,8,high,lazy,Pass
192,Male,10,4,high,lazy,Faile
193,Male,5,5,high,lazy,Faile
194,Female,7,5,high,lazy,Faile
195,Female,8,5,high,lazy,Faile
196,Female,6,4,high,lazy,Faile
197,Female,8,6,high,lazy,Pass
198,Female,6,8,high,lazy,Pass
199,Female,8,4,low,focus,Faile
200,Female,6,5,low,focus,Faile
201,Male,8,6,low,focus,Pass
202,Male,6,8,low,focus,Pass
203,Female,5,4,low,focus,Faile
204,Male,7,5,low,focus,Faile
205,Female,5,6,high,focus,Faile
206,Female,7,8,high,focus,Pass
207,Female,8,4,high,focus,Faile
208,Female,9,6,high,focus,Pass
209,Male,5,8,low,lazy,Faile
210,Male,5,8,low,lazy,Faile
211,Female,5,8,high,focus,Faile
212,Male,5,6,high,lazy,Faile
213,Female,5,6,high,focus,Faile
214,Male,5,6,medium,lazy,Faile
215,Female,5,4,medium,focus,Faile
216,Female,5,5,medium,lazy,Faile
217,Female,5,5,medium,focus,Faile
218,Female,8,5,medium,lazy,Faile
219,Female,9,4,medium,focus,Faile
220,Female,7,8,high,focus,Pass
221,Female,6,6,low,focus,Pass
222,Female,5,4,high,focus,Faile
223,Female,6,6,medium,focus,Pass
224,Male,7,5,medium,focus,Faile
225,Male,8,4,low,focus,Faile
226,Male,6,8,medium,focus,Pass
227,Male,6,6,low,focus,Pass
228,Male,7,4,low,lazy,Faile
229,Male,5,5,medium,lazy,Faile
230,Male,7,5,medium,lazy,Faile
231,Male,7,4,medium,lazy,Faile
232,Male,7,8,high,lazy,Pass
233,Male,9,6,high,lazy,Pass
234,Male,6,5,high,lazy,Faile
235,Female,9,8,high,focus,Pass
236,Male,8,7,low,focus,Pass
237,Female,6,7,medium,focus,Pass
238,Male,7,8,high,focus,Pass
239,Female,8,6,medium,lazy,Pass
240,Male,5,5,medium,lazy,Faile
241,Female,8,4,medium,lazy,Faile
242,Male,5,7,medium,focus,Faile
243,Male,7,7,low,focus,Pass
244,Male,7,7,low,focus,Pass
245,Female,7,7,low,focus,Pass
246,Female,7,8,low,focus,Pass
247,Male,7,5,high,lazy,Faile
248,Male,7,4,high,focus,Faile
249,Male,10,4,high,lazy,Faile
250,Male,6,8,high,focus,Pass
